zx_code_fldname,zx_code_value,zx_code_value_up,zx_code_cmmt,zx_code_desc1,zx_code_desc2,zx_code_rmk,zx_code_char#1,zx_code_char#2,zx_code_num#1,zx_code_num#2
CoA_ChromaScan,PHU64Q,,NIPPON PAINT 1801.N,,POLICE GREY PART A,,,,0,0
CoA_ChromaScan,PHU65Q,,MUNSELL 5Y5/1,,BROWNISH GREY PART A,,,,0,0
CoA_ChromaScan,PHU69D,,MUNSELL 5BG7/0.4,,GREY PART A,,,,0,0
CoA_ChromaScan,PHU70T,,MUNSELL 2.5RP4.5/12,,PINK PART A,,,,0,0
CoA_ChromaScan,PHU78P,,MUNSELL 2.5Y8/1,,LIGHT GREY PART A,,,,0,0
CoA_ChromaScan,PHU80G,,MUNSELL 2.5G3/8,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHU87D,,MUNSELL 5G 5/10,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHU892,,RAL4006,,RAL4006 TRAFFIC PURPLE PART A,,,,0,0
CoA_ChromaScan,PHU96L,,MUNSELL 5G7/8,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHV15B,,KNS D-28421,,BROWN PART A,,,,0,0
CoA_ChromaScan,PHV36B,,MUNSELL MUNSELL 10BG4.9/0.6,,GREY PART A,,,,0,0
CoA_ChromaScan,PHV388,,RAL6003,,RAL6003 OLIVE GREEN PART A,,,,0,0
CoA_ChromaScan,PHV526,,RAL6020,,RAL6020 CHROME GREEN PART A,,,,0,0
CoA_ChromaScan,PHV57G,,MUNSELL 2.5G7/6,,LIGHT GREEN PART A,,,,0,0
CoA_ChromaScan,PHV64A,,KCC 5000,,NAVY BLUE PART A,,,,0,0
CoA_ChromaScan,PHV64E,,US 88051,,GREY PART A,,,,0,0
CoA_ChromaScan,PHV68J,,KCC GK431(2.5G8.1/4.8),,GREEN PART A,,,,0,0
CoA_ChromaScan,PHV725,,MUNSELL N4,,DARK GREY PART A,,,,0,0
CoA_ChromaScan,PHV78X,,JP MUNSELL 5GY9/1,,CREAM PART A,,,,0,0
CoA_ChromaScan,PHV87A,,MUNSELL 7.5GY5/4,,APPLE GREEN PART A,,,,0,0
CoA_ChromaScan,PHV88X,,MUNSELL 2.5PB6/8,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHV89V,,JP MUNSELL 5PB8/1,,LIGHT BLUE PART A,,,,0,0
CoA_ChromaScan,PHV99E,,BS5252(BS4800) 00E55,,WHITE PART A,,,,0,0
CoA_ChromaScan,PHW001,,RAL7022,,RAL7022 UMBRA GREY PART A,,,,0,0
CoA_ChromaScan,PHW01N,,MUNSELL 2.5G6/4,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHW07V,,MUNSELL 7.5GY8/4,,LIGHT GREEN PART A,,,,0,0
CoA_ChromaScan,PHW17G,,MUNSELL 8B4.5/3.25,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHW23Y,,MSL 1.1PB2.0/0.4,,BLACK PART A,,,,0,0
CoA_ChromaScan,PHW246,,RAL8016,,RAL8016 MAHOGANY BROWN PART A,,,,0,0
CoA_ChromaScan,PHW26A,,MUNSELL 6.6GY6.3/8.0,,YELLOW GREEN PART A,,,,0,0
CoA_ChromaScan,PHW36T,,JP MUNSELL 10B6/7,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHW399,,RAL7043,,RAL7043 TRAFFIC GREY B PART A,,,,0,0
CoA_ChromaScan,PHW41T,,JP MUNSELL 2.5Y6/1.5,,GREY BEIGE PART A,,,,0,0
CoA_ChromaScan,PHW53P,,MUNSELL 2.5PB3/9,,BLUE PART A,,,,0,0
